Year,Month,DESTINATION,COUNTRYNAME,HS CODE,SHORT_DESC,QUANTITY,UNIT,FOB_VALUE
2022,10,TZ,TANZANIA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",25456.71,,9186538.299999999
2022,10,TZ,TANZANIA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",9199.69,,1410541.0
2022,10,TZ,TANZANIA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",14202.0,kg,6452575.63
2022,10,TZ,TANZANIA,72131000,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel. - Containing indentations,ribs,grooves or other deformations produced during the rolling process",943220.0,,85851378.93879999
2022,10,TZ,TANZANIA,72172000,Wire of iron or non-alloy steel. - Plated or coated with zinc,120770.0,,15434876.597000001
2022,10,UG,UGANDA,48115990,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in head",11828.0,,6166998.929
2022,10,UG,UGANDA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",13532.0,,5493126.0
2022,10,UG,UGANDA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",71182.0,,18059719.2
2022,10,UG,UGANDA,72131000,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel. - Containing indentations,ribs,grooves or other deformations produced during the rolling process",28000.0,,2609406.8
2022,10,UG,UGANDA,72166100,"Angles, shapes and sections of iron or non-alloy steel. -- Obtained from flat-rolled products",26930.0,,6533683.5200000005
2022,10,US,UNITED STATES OF AMERICA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",12841.0,kg,2969637.48
2022,10,ZM,ZAMBIA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",5199.0,kg,506936.63
