YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2023,2023-08,23MBAEX304890262,1,1,Settled,10:35.0,EX3,EX312,238.0,83733.65,KES,83733.65,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10;,LK,Sri Lanka,EG,Egypt,MBA,MEX,26,26,0,0,0,0,0,0,0,0,26,0
2023,2023-09,23MBAEX305265006,1,1,Settled,10:31.0,EX3,EX312,254.0,76299.01,USD,76299.01,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,29,29,0,0,0,0,0,0,0,0,29,0
2023,2023-08,23NBOIM409373598,1,1,Settled,13:56.0,IM4,IM410,13572.0,959867.94,KES,1199834.94,48,48041100,BROWN KRAFTLINER SUBSTANCE 150 GSM; 1;; ,NL,Netherlands,KE,Kenya,NBO,NBF,727102,0,419943,259165,0,0,29996,17998,0,0,0,0
2023,2023-09,23MBAEX305265627,1,1,Settled,18:32.0,EX3,EX312,254.0,76299.01,USD,76299.01,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,29,29,0,0,0,0,0,0,0,0,29,0
2023,2023-09,23MBAEX305279911,1,1,Settled,05:22.0,EX3,EX312,254.0,76299.01,USD,76299.01,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,29,29,0,0,0,0,0,0,0,0,29,0
2023,2023-09,23MBAEX305273791,1,1,Settled,00:27.0,EX3,EX312,254.0,76299.01,USD,76299.01,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,29,29,0,0,0,0,0,0,0,0,29,0
2023,2023-09,23EMKIM400980126,1,1,Removed,46:36.0,IM4,IM491,420368.0,33538930.63,USD,38944707.48,48,48041100,"NATURAL KRAFT LINER- ;OD:127CM,;CORE:4INCH;150GSM AND 225GSM; 0; 229496.74; ",FI,Finland,KE,Kenya,EMK,ICD,11790922,0,13630648,6231154,0,0,973618,584171,0,0,107508,0
2023,2023-09,23NBOIM410576858,1,2,Removed,34:12.0,IM4,IM490,216.0,1740853.91,EUR,1766966.74,48,48194000,AIR CATERING SUPPLY(BIN ATLAS FOLDING AMENDED); 20; 30; 0; 216; ,FR,France,KE,Kenya,NBO,ACH,21261,250,27058,12370,0,0,1933,1160,0,0,0,0
2023,2023-09,23NMAIM400524445,1,1,Removed,22:20.0,IM4,IM404,29560.0,3981760.3,USD,3981760.3,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,637082,0,1393617,637082,0,0,0,0,0,0,0,0
2023,2023-10,23EMKIM401068087,1,1,Settled,03:29.0,IM4,IM400,24647.0,7388001.55,USD,8606607.02,48,48043900,BLEACHED KRAFT PAPER 80GSM; 1;,ES,Spain,KE,Kenya,EMK,ICD,2601557,0,1495110,922697,0,0,106794,64077,0,0,12879,0
