YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2022,2022-04,22MBAEX301360190,1,1,Settled,23:27.0,EX3,EX312,237.0,63504.0,KES,63504.0,48,48194000,PAPER SACKS; 1; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,21,21,0,0,0,0,0,0,0,0,21,0
2022,2022-04,22NMAIM400190377,1,2,Removed,23:30.0,IM4,IM404,5726.0,1986503.01,USD,1986503.0,48,48191000,NA; NA; 25; 1193; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,154653,317842,241644,154653,0,0,0,0,0,0,0,0
2022,2022-05,22NMAIM400211393,1,1,Settled,32:17.0,IM4,IM400,28453.0,2967253.8,USD,2967253.8,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,474761,0,741814,474761,0,0,103854,59346,0,0,0,0
2022,2022-05,22EMKIM400662385,1,4,Settled,11:29.0,IM4,IM400,350.0,10847715.98,USD,11498950.71,48,48194000,SUBLIMATION PAPER; 100; 100; 1; ,CN,China,KE,Kenya,EMK,ICD,267827,1878,132587,106070,0,0,18563,10607,0,0,0,0
2022,2022-05,22EMKIM700613213,1,1,Settled,50:56.0,IM7,IM700,9266.0,2167483.32,USD,2871080.45,48,48043900,MF BLEACHED KRAFT PAPER SUBSTANCE 70 - 80 GSM; 0;,SE,Sweden,KE,Kenya,EMK,ICD,4888,4888,110374,194259,0,0,0,0,0,0,4888,0
2022,2022-05,22EMKIM400675707,1,1,Settled,03:39.0,IM4,IM400,44778.0,5976659.58,EUR,6549462.67,48,48043900,AXELLO TOUGH WHITE BLEACHED KRAFT PAPER SUBS 120 GSM; 1;,SE,Sweden,KE,Kenya,EMK,ICD,2013228,0,654947,1152706,0,0,98242,98242,0,0,11689,0
2022,2022-05,22NMAIM400259222,1,1,Settled,29:10.0,IM4,IM400,28047.0,3349822.03,USD,3349822.03,48,48042100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,535972,0,837456,535972,0,0,117244,66997,0,0,0,0
2022,2022-05,22MBAEX301932909,1,1,Settled,58:30.0,EX3,EX312,236.0,63365.0,KES,63365.0,48,48194000,PAPER SACKS; 1; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,21,21,0,0,0,0,0,0,0,0,51,0
2022,2022-05,22MBAIM701955366,1,1,Settled,12:29.0,IM7,IM751,16202.93,6137209.47,USD,6544992.3,48,48191000,N/A; PRINTED EMPTY TEA CARTONS; 1406; 1239750; 1; ,LK,Sri Lanka,KE,Kenya,MBA,CNT,3634,3634,1636249,1308999,0,0,0,0,0,0,4673,0
2022,2022-05,22EMKIM400659941,2,2,Settled,17:56.0,IM4,IM400,13880.0,3099533.34,INR,3686153.84,48,48043100,"KRAFT PAPER GSM 60 REEL SIZE 240MM,280MM; 1; ",IN,India,KE,Kenya,EMK,ICD,926654,737232,482632,386106,0,0,28958,28958,0,0,807,0
2022,2022-06,22MBAEX302366040,1,1,Settled,21:44.0,EX3,EX312,236.0,63365.0,KES,63365.0,48,48194000,PAPER SACKS; 1; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,21,21,0,0,0,0,0,0,0,0,21,0
2022,2022-06,22NBOEX106244194,1,1,Under control,02:59.0,EX1,EX112,600.0,27008.1,USD,27008.1,48,48191000,H; EMPTY BOXES; 1; 28; ,KE,Kenya,SO,Somalia,NBO,MAT,250,250,0,0,0,0,0,0,0,0,0,250
2022,2022-06,22EMKIM400872570,1,1,Removed,39:31.0,IM4,IM492,155634.0,14820683.07,USD,19123039.1,48,48041100,KRAFTLINER BOARD SUBSTANCE 85 - 170 GSM; 1; 125859.36; ,SE,Sweden,KE,Kenya,EMK,ICD,3665451,0,4780760,3059687,0,0,286846,286846,0,0,32072,0
